name,iataCode,icaoCode,country,city,latitude,longitude,type
Afutara Aerodrome,AFT,AGAF,SB,Bila,-9.191389,160.948611,small_airport
Ulawa Airport,RNA,AGAR,SB,Arona,-9.86054358262,161.979546547,small_airport
Uru Harbour Airport,ATD,AGAT,SB,Atoifi,-8.87333,161.011002,small_airport
Barakoma Airport,VEV,AGBA,SB,Barakoma,-7.912779808044434,156.70599365234375,small_airport
Batuna Aerodrome,BPF,AGBT,SB,Batuna Mission Station,-8.56202777778,158.119305556,small_airport
Geva Airport,GEF,AGEV,SB,Liangia,-7.575829982757568,156.5970001220703,small_airport
Gwaunaru'u Airport,AKS,AGGA,SB,Auki,-8.70257,160.682007,small_airport
Bellona/Anua Airport,BNY,AGGB,SB,Anua,-11.3022222222,159.798333333,small_airport
Choiseul Bay Airport,CHY,AGGC,SB,Choiseul Bay,-6.711944,156.396111,small_airport
Ballalae Airport,BAS,AGGE,SB,Ballalae,-6.990745,155.886656,small_airport
Fera/Maringe Airport,FRE,AGGF,SB,Fera Island,-8.1075,159.576996,small_airport
Honiara International Airport,HIR,AGGH,SB,Honiara,-9.428,160.054993,large_airport
Babanakira Airport,MBU,AGGI,SB,Mbambanakira,-9.7475,159.839005,small_airport
Avu Avu Airport,AVU,AGGJ,SB,Avu Avu,-9.868333,160.410556,small_airport
Ngorangora Airport,IRA,AGGK,SB,Kirakira,-10.4497003555,161.897994995,small_airport
Santa Cruz/Graciosa Bay/Luova Airport,SCZ,AGGL,SB,Santa Cruz/Graciosa Bay/Luova,-10.7203,165.794998,small_airport
Munda Airport,MUA,AGGM,SB,Munda,-8.32797,157.263,medium_airport
Nusatupe Airport,GZO,AGGN,SB,Gizo,-8.09778022766,156.863998413,small_airport
Mono Airport,MNY,AGGO,SB,Stirling Island,-7.416940212249756,155.56500244140625,small_airport
Parasi Airport,PRS,AGGP,SB,Parasi,-9.64167022705078,161.4250030517578,small_airport
Rennell/Tingoa Airport,RNL,AGGR,SB,Rennell Island,-11.55,160.062778,small_airport
Sege Airport,EGM,AGGS,SB,Sege,-8.57889,157.876007,small_airport
Santa Ana Airport,NNB,AGGT,SB,Santa Ana Island,-10.847994,162.454108,small_airport
Marau Airport,RUS,AGGU,SB,Marau,-9.86166954041,160.824996948,small_airport
Suavanao Airport,VAO,AGGV,SB,Suavanao,-7.58556,158.731003,small_airport
Yandina Airport,XYA,AGGY,SB,Yandina,-9.092816,159.21841,small_airport
Kaghau Airport,KGE,AGKG,SB,Kagau Island,-7.3305,157.585,small_airport
Kukudu Airport,KUE,AGKU,SB,Kolombangara Island,-8.0262,156.94783,small_airport
Kwailabesi Airport,KWS,AGKW,SB,Kwailabesi,-8.360508,160.775127,small_airport
Lomlom Airport,LLM,AGLM,SB,Lomlom,-10.296828,166.327322,small_airport
Nana Airport,NAZ,AGNA,SB,Star Harbor,-10.6758,162.2049,small_airport
Manaoba Airport,MHM,AGOB,SB,Manaoba,-8.325008,160.80051,small_airport
Gatokae Aerodrome,GTA,AGOK,SB,Gatokae,-8.738358,158.202836,small_airport
Ringi Cove Airport,RIN,AGRC,SB,Ringi Cove,-8.12639045715332,157.14300537109375,small_airport
Ramata Airport,RBV,AGRM,SB,Ramata,-8.168060302734375,157.64300537109375,small_airport
Nauru International Airport,INU,ANYN,NR,Yaren District,-0.547458,166.919006,medium_airport
Mount Aue Airport,UAE,AYAE,PG,Aue,-6.229978,144.664181,small_airport
